date,weekday,period,total
10/24/2021,7,4,0
10/25/2021,1,1,438
10/25/2021,1,2,1195
10/25/2021,1,3,984
10/25/2021,1,4,271
10/26/2021,2,1,232
10/26/2021,2,2,1017
10/26/2021,2,3,953
10/26/2021,2,4,135
10/27/2021,3,1,499
10/27/2021,3,2,1194
10/27/2021,3,3,963
10/27/2021,3,4,258
10/28/2021,4,1,479
10/28/2021,4,2,1243
10/28/2021,4,3,873
10/28/2021,4,4,170
10/29/2021,5,1,425
10/29/2021,5,2,1074
10/29/2021,5,3,666
10/29/2021,5,4,41
10/30/2021,6,1,64
10/30/2021,6,2,637
10/30/2021,6,3,513
10/30/2021,6,4,0
10/31/2021,7,1,0
10/31/2021,7,2,635
10/31/2021,7,3,599
10/31/2021,7,4,0
